"","","","","","pSum",""
"1",1e-04,1e-04,1e-04,1e-04,1e-04,0.9999
"2",1e-04,1e-04,1e-04,0.125,0.125,0.875
"3",1e-04,1e-04,1e-04,0.25,0.25,0.75
"4",1e-04,1e-04,0.125,1e-04,0.125,0.875
"5",1e-04,1e-04,0.125,0.125,0.25,0.75
"6",1e-04,1e-04,0.125,0.25,0.375,0.625
"7",1e-04,1e-04,0.25,1e-04,0.25,0.75
"8",1e-04,1e-04,0.25,0.125,0.375,0.625
"9",1e-04,1e-04,0.25,0.25,0.5,0.5
"10",1e-04,0.125,1e-04,1e-04,0.125,0.875
"11",1e-04,0.125,1e-04,0.125,0.25,0.75
"12",1e-04,0.125,1e-04,0.25,0.375,0.625
"13",1e-04,0.125,0.125,1e-04,0.25,0.75
"14",1e-04,0.125,0.125,0.125,0.375,0.625
"15",1e-04,0.125,0.125,0.25,0.5,0.5
"16",1e-04,0.125,0.25,1e-04,0.375,0.625
"17",1e-04,0.125,0.25,0.125,0.5,0.5
"18",1e-04,0.125,0.25,0.25,0.625,0.375
"19",1e-04,0.25,1e-04,1e-04,0.25,0.75
"20",1e-04,0.25,1e-04,0.125,0.375,0.625
"21",1e-04,0.25,1e-04,0.25,0.5,0.5
"22",1e-04,0.25,0.125,1e-04,0.375,0.625
"23",1e-04,0.25,0.125,0.125,0.5,0.5
"24",1e-04,0.25,0.125,0.25,0.625,0.375
"25",1e-04,0.25,0.25,1e-04,0.5,0.5
"26",1e-04,0.25,0.25,0.125,0.625,0.375
"27",1e-04,0.25,0.25,0.25,0.75,0.25
"28",0.125,1e-04,1e-04,1e-04,0.125,0.875
"29",0.125,1e-04,1e-04,0.125,0.25,0.75
"30",0.125,1e-04,1e-04,0.25,0.375,0.625
"31",0.125,1e-04,0.125,1e-04,0.25,0.75
"32",0.125,1e-04,0.125,0.125,0.375,0.625
"33",0.125,1e-04,0.125,0.25,0.5,0.5
"34",0.125,1e-04,0.25,1e-04,0.375,0.625
"35",0.125,1e-04,0.25,0.125,0.5,0.5
"36",0.125,1e-04,0.25,0.25,0.625,0.375
"37",0.125,0.125,1e-04,1e-04,0.25,0.75
"38",0.125,0.125,1e-04,0.125,0.375,0.625
"39",0.125,0.125,1e-04,0.25,0.5,0.5
"40",0.125,0.125,0.125,1e-04,0.375,0.625
"41",0.125,0.125,0.125,0.125,0.5,0.5
"42",0.125,0.125,0.125,0.25,0.625,0.375
"43",0.125,0.125,0.25,1e-04,0.5,0.5
"44",0.125,0.125,0.25,0.125,0.625,0.375
"45",0.125,0.125,0.25,0.25,0.75,0.25
"46",0.125,0.25,1e-04,1e-04,0.375,0.625
"47",0.125,0.25,1e-04,0.125,0.5,0.5
"48",0.125,0.25,1e-04,0.25,0.625,0.375
"49",0.125,0.25,0.125,1e-04,0.5,0.5
"50",0.125,0.25,0.125,0.125,0.625,0.375
"51",0.125,0.25,0.125,0.25,0.75,0.25
"52",0.125,0.25,0.25,1e-04,0.625,0.375
"53",0.125,0.25,0.25,0.125,0.75,0.25
"54",0.125,0.25,0.25,0.25,0.875,0.125
"55",0.25,1e-04,1e-04,1e-04,0.25,0.75
"56",0.25,1e-04,1e-04,0.125,0.375,0.625
"57",0.25,1e-04,1e-04,0.25,0.5,0.5
"58",0.25,1e-04,0.125,1e-04,0.375,0.625
"59",0.25,1e-04,0.125,0.125,0.5,0.5
"60",0.25,1e-04,0.125,0.25,0.625,0.375
"61",0.25,1e-04,0.25,1e-04,0.5,0.5
"62",0.25,1e-04,0.25,0.125,0.625,0.375
"63",0.25,1e-04,0.25,0.25,0.75,0.25
"64",0.25,0.125,1e-04,1e-04,0.375,0.625
"65",0.25,0.125,1e-04,0.125,0.5,0.5
"66",0.25,0.125,1e-04,0.25,0.625,0.375
"67",0.25,0.125,0.125,1e-04,0.5,0.5
"68",0.25,0.125,0.125,0.125,0.625,0.375
"69",0.25,0.125,0.125,0.25,0.75,0.25
"70",0.25,0.125,0.25,1e-04,0.625,0.375
"71",0.25,0.125,0.25,0.125,0.75,0.25
"72",0.25,0.125,0.25,0.25,0.875,0.125
"73",0.25,0.25,1e-04,1e-04,0.5,0.5
"74",0.25,0.25,1e-04,0.125,0.625,0.375
"75",0.25,0.25,1e-04,0.25,0.75,0.25
"76",0.25,0.25,0.125,1e-04,0.625,0.375
"77",0.25,0.25,0.125,0.125,0.75,0.25
"78",0.25,0.25,0.125,0.25,0.875,0.125
"79",0.25,0.25,0.25,1e-04,0.75,0.25
"80",0.25,0.25,0.25,0.125,0.875,0.125
"81",0.25,0.25,0.25,0.25,0.9999,1e-04
