spp,sp_code,shpcode,DIVISION,FAMILY,GENUS,SPECIES,Ha,Ma,Ka,Oa,Mo,La,Ke,Ni,Pioneer,Envelope gap,GAP_Habitat,Substrate,Forest,Shrubland,Grassland,Alien_hab_comp,CCE_Area,Common Name,Conservation Status,Status.simplified,Native Status,Coastal,spp_old,family_old,genus_old,species_old,Status.simplified_old,Test spp,TEs,temp
Abutilon eremitopetalum,1,Abuerem,Dicot,Malvaceae,Abutilon,eremitopetalum,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,150.1317,None,Endangered,Endangered,Endemic,Non_coastal,Abutilon eremitopetalum,Malvaceae,Abutilon,eremitopetalum,Endangered,0,1,1
Abutilon incanum,2,Abuinca,Dicot,Malvaceae,Abutilon,incanum,0,1,1,1,1,2,1,1,0,0,0,0,1,1,1,1,1789.398,Ma‘o,Apparently Secure,Apparently Secure,Indigenous,Coastal,Abutilon incanum,Malvaceae,Abutilon,incanum,Apparently Secure,0,0,1
Abutilon menziesii,3,Abumenz,Dicot,Malvaceae,Abutilon,menziesii,1,2,0,2,0,3,0,0,0,0,0,0,1,1,1,1,1070.379,Ko‘oloa ‘ula,Endangered,Endangered,Endemic,Non_coastal,Abutilon menziesii,Malvaceae,Abutilon,menziesii,Endangered,0,1,1
Abutilon sandwicense,4,Abusand,Dicot,Malvaceae,Abutilon,sandwicense,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,131.8086,None,Endangered,Endangered,Endemic,Non_coastal,Abutilon sandwicense,Malvaceae,Abutilon,sandwicense,Endangered,0,1,0
Acacia koa,5,Acakoa,Dicot,Fabaceae,Acacia,koa,2,3,2,4,2,4,0,0,0,0,0,0,1,1,1,1,9172.1529,Koa,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Acacia koa,Fabaceae,Acacia,koa,Apparently Secure,0,0,0
Acacia koaia,6,Acakoai,Dicot,Fabaceae,Acacia,koaia,3,4,3,0,3,5,0,0,0,0,0,0,1,1,1,1,3018.1365,Koai‘a,Vulnerable,Vulnerable,Endemic,Non_coastal,Acacia koaia,Fabaceae,Acacia,koaia,Vulnerable,0,0,0
Acaena exigua,7,Acaexig,Dicot,Rosaceae,Acaena,exigua,0,5,4,0,0,0,0,0,0,0,0,0,1,1,1,0,2.4282,Liliwai,Endangered,Extinct,Endemic,Non_coastal,Acaena exigua,Rosaceae,Acaena,exigua,Endangered,0,1,0
Achyranthes mutica,8,Achmuti,Dicot,Amaranthaceae,Achyranthes,mutica,4,0,5,0,0,0,0,0,0,0,0,0,1,1,1,0,64.8144,None,Endangered,Endangered,Endemic,Non_coastal,Achyranthes mutica,Amaranthaceae,Achyranthes,mutica,Endangered,0,1,0
Achyranthes splendens,9,Achsple,Dicot,Amaranthaceae,Achyranthes,splendens,0,6,0,5,4,6,0,0,0,0,0,0,1,1,1,1,1947.9798,None,"Rare, including endangered variety",Rare,Endemic,Non_coastal,Achyranthes splendens,Amaranthaceae,Achyranthes,splendens,Rare,0,0,0
Adenophorus abietinus,10,Adeabie,Pteridophyte,Polypodiaceae,Adenophorus,abietinus,0,7,6,6,0,7,0,0,0,0,0,0,1,1,1,0,609.7392,None,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Adenophorus abietinus,Grammitidaceae,Adenophorus,abietinus,Apparently Secure,0,0,0
Adenophorus epigaeus,11,Adeepig,Pteridophyte,Polypodiaceae,Adenophorus,epigaeus,0,0,7,0,0,0,0,0,0,0,0,0,1,1,1,0,91.5408,None,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Adenophorus epigaeus,Grammitidaceae,Adenophorus,epigaeus,Apparently Secure,0,0,0
